,0
0,69.96255104362965
1,69.35146677017212
2,68.72015885710717
3,68.14554283797742
4,67.64991169095039
5,67.23432464718819
6,66.88558276534081
7,66.58113209724426
8,66.29539758324623
9,66.00503622472287
10,65.69207793474197
11,65.34537315398455
12,64.96097970038653
13,64.54142744779587
14,64.09442268669605
15,63.630887778997426
16,63.16296857535839
17,62.70224600315094
18,62.258461918830875
19,61.83886975318194
20,61.4480748590827
21,61.0883123677969
22,60.759935356378556
23,60.46198744654656
24,60.19274009585381
25,59.950108614563945
26,59.731969934999945
27,59.536334544718265
28,59.36140942633152
29,59.20562722474337
