,0
0,36.857938172817235
1,36.947317340970045
2,36.903839460611344
3,36.79827108919621
4,36.6592742317915
5,36.49474265515805
6,36.306728700399404
7,36.09649093270302
8,35.86522671043873
9,35.613804405331614
10,35.342486059069635
11,35.0508317476511
12,34.737686192393305
13,34.40121127605438
14,34.03901993274689
15,33.64819336235524
16,33.225464650988584
17,32.76731823205948
18,32.270223237276085
19,31.730864934921268
20,31.146475629210475
21,30.515325271189216
22,29.837290490865712
23,29.114634027779108
24,28.352840586602692
25,27.561464169025424
26,26.754734403789048
27,25.951607233583932
28,25.17497305184603
29,24.449739207923415
