,0
0,13.274301444888115
1,13.272468401789665
2,13.34415843963623
3,13.468568665385247
4,13.626748165488243
5,13.806166095733643
6,13.999976949095725
7,14.20492303431034
8,14.419551298618316
9,14.64314089655876
10,14.875211474895478
11,15.115393142700196
12,15.363413215875624
13,15.619135352373123
14,15.88258606314659
15,16.153957237005233
16,16.433584679365158
17,16.721922863721847
18,17.019513370990754
19,17.326954591274262
20,17.644890362024306
21,17.973982194662092
22,18.31486887693405
23,18.66818162202835
24,19.034506195783614
25,19.414372817277908
26,19.808258683681487
27,20.216555147171018
28,20.639572764635087
29,21.077534985542297
