,0
0,86.71852406263352
1,86.43389209747315
2,86.07449558734893
3,85.70192207336426
4,85.34953368425369
5,85.02847203016282
6,84.73814867973327
7,84.47340280056
8,84.22813303470612
9,83.99667211294174
10,83.774018368721
11,83.55596114158631
12,83.33889267206192
13,83.11992385864258
14,82.89673956155777
15,82.66768542051315
16,82.43170997619629
17,82.18830196857452
18,81.93741798877716
19,81.67948730230331
20,81.41513692617416
21,81.14527844667434
22,80.87102120161056
23,80.59346005916595
24,80.31373329639435
25,80.03294060468673
26,79.752085211277
27,79.47202564716339
28,79.19353362560273
29,78.9171686387062
