day,Close
0,703.334483730197
1,700.5419117081166
2,699.9834971165657
3,700.8981668579578
4,702.7428621661663
5,705.2159946298599
6,708.1660790312291
7,711.5071995270253
8,715.1752839356661
9,719.1088321763277
10,723.2456147664785
11,727.5241700148582
12,731.88587705791
13,736.2765298318863
14,740.6471048641205
15,744.9554120242595
16,749.1650196164846
17,753.2457150542735
18,757.174387820363
19,760.9322270286083
20,764.5063721752167
21,767.8894524639845
22,771.0779744446278
23,774.0722068440914
24,776.8756431126594
25,779.4952317613363
26,781.9394952732324
27,784.2183381557464
28,786.3440450692177
29,788.3282864409686
