day,Close
0,35.908640589416024
1,36.0203364571929
2,36.30464412212372
3,36.67231855988502
4,37.05983647882938
5,37.43630946576595
6,37.79223129600286
7,38.1281109765172
8,38.44765568822622
9,38.75480763822794
10,39.052867580950256
11,39.344371461868285
12,39.63115014791489
13,39.91441772460937
14,40.194818241596224
15,40.47255426287651
16,40.747507626116274
17,41.01938617169857
18,41.2878730687499
19,41.552677456140515
20,41.81365779876709
21,42.07082578301429
22,42.32434242129326
23,42.5744920822978
24,42.82165522277355
25,43.06625125408173
26,43.308704781532285
27,43.54940664976835
28,43.78870095789432
29,44.02686038821935
