day,Close
0,322.55860166549684
1,321.8356050157547
2,321.27775041103365
3,320.9005856561661
4,320.71828250408174
5,320.7382906150818
6,320.9616380739212
7,321.3837380409241
8,321.99532193660735
9,322.7836098766327
10,323.7337183570862
11,324.82866025447845
12,326.0499616765976
13,327.3777094125748
14,328.7911203336716
15,330.26792454242707
16,331.7860577583313
17,333.3227597665787
18,334.85528616905214
19,336.36095583438873
20,337.81828969955444
21,339.20637810230255
22,340.505829782486
23,341.69866116523747
24,342.7690871953964
25,343.7032366371155
26,344.4896740245819
27,345.11973181247714
28,345.5863715744019
29,345.8862876224518
