day,Close
0,240.53533654689787
1,240.58976665019986
2,240.77525871276853
3,240.98829696655272
4,241.21180077075957
5,241.44857326030728
6,241.69993129253385
7,241.96446559906005
8,242.2392113256454
9,242.52076466560362
10,242.80558319568632
11,243.09053264141082
12,243.37299468994138
13,243.65119812965392
14,243.92389541149137
15,244.1906552839279
16,244.45140843868253
17,244.70653222084044
18,244.9565117883682
19,245.20191700935362
20,245.4432946491241
21,245.6810451555252
22,245.91543806076047
23,246.1466273832321
24,246.3746670293808
25,246.59944148540495
26,246.82080443382262
27,247.038624958992
28,247.25274904251097
29,247.46300726413725
