day,Close
0,310.73283475577836
1,309.7667885088921
2,309.6029810470343
3,309.75843294739724
4,310.0517341321707
5,310.41717632591724
6,310.82252593994144
7,311.245775334239
8,311.67110487878324
9,312.0875020134449
10,312.4886214059591
11,312.871543853879
12,313.23653156101705
13,313.5854898750782
14,313.9214428800345
15,314.2478341859579
16,314.5679675608874
17,314.88484960854055
18,315.2009100842476
19,315.5176173293591
20,315.83607259988787
21,316.15660802066327
22,316.47920611143115
23,316.8031501817703
24,317.12800322532655
25,317.45275138735775
26,317.77657309591774
27,318.09859433829786
28,318.41822078585625
29,318.7347881889344
