day,Close
0,53.79337413728237
1,53.75841890633106
2,53.61221837103367
3,53.415024049282074
4,53.20012663722038
5,52.99076993763447
6,52.801616446375846
7,52.63946688234806
8,52.505044091343876
9,52.39517816245556
10,52.30491528093815
11,52.229198842048646
12,52.16391061425209
13,52.10644768953323
14,52.05578548371792
15,52.012229050993916
16,51.977011871337886
17,51.95182832181454
18,51.938382726907726
19,51.93812077820301
20,51.95198084890842
21,51.98031441450119
22,52.02291257917881
23,52.0790558129549
24,52.14763995230198
25,52.22727899014949
26,52.316444339752195
27,52.4135510456562
28,52.517004204988474
29,52.625318336486814
