day,Close
0,60.11261497199535
1,59.68055319249629
2,59.21031467378139
3,58.735052180886264
4,58.24473996520042
5,57.72555953621863
6,57.16320742428302
7,56.54349457383155
8,55.85217557609081
9,55.07411532461643
10,54.19224391937255
11,53.18647400200366
12,52.033159423470494
13,50.705837228000156
14,49.17821693480015
15,47.43069189548492
16,45.46067157000303
17,43.3007985560596
18,41.0711378531903
19,39.096768084391954
20,37.89633704474196
21,37.74204643456265
22,38.38959819836542
23,39.43619457654655
24,40.611092221587896
25,41.776999608278274
26,42.87032192409038
27,43.86358783230185
28,44.7459147593379
29,45.51296393483877
