day,Close
0,106.80329668045044
1,106.32821771860122
2,105.47234568595886
3,104.60666495084763
4,103.8299161028862
5,103.16216619968414
6,102.59377385139466
7,102.1039243221283
8,101.67025000572204
9,101.27378183364868
10,100.90088905572891
11,100.54334198236465
12,100.19720876693725
13,99.86147507667542
14,99.53664284944534
15,99.22362184762954
16,98.92311269283294
17,98.6351624417305
18,98.35929007053375
19,98.09446033239365
20,97.83945498228073
21,97.5930871462822
22,97.35423269271851
23,97.12210211515426
24,96.89609936237335
25,96.67597346544265
26,96.46160416841506
27,96.25301761388779
28,96.05031314373016
29,95.853595328331
